start	end	lat	lon	lat	lon	name
1901216763	2028457314	-5009590.26	878663.0199999999	-5009625.57	878651.41	Obere Grenzstraße
2024106236	1901216763	-5009570.64	878669.62	-5009590.26	878663.0199999999	Obere Grenzstraße
60784538	2024106236	-5009564.550000001	878671.72	-5009570.64	878669.62	Obere Grenzstraße
60784540	60784538	-5009532.29	878681.61	-5009564.550000001	878671.72	Obere Grenzstraße
2028930368	60784540	-5009474.3	878700.6399999999	-5009532.29	878681.61	Obere Grenzstraße
2028930289	2028930368	-5009444.640000001	878710.37	-5009474.3	878700.6399999999	Obere Grenzstraße
2028930228	2028930289	-5009414.47	878720.27	-5009444.640000001	878710.37	Obere Grenzstraße
1609310289	2028930228	-5009380.72	878731.35	-5009414.47	878720.27	Obere Grenzstraße
1832928031	1609310289	-5009319.66	878752.42	-5009380.72	878731.35	Obere Grenzstraße
2024106168	1832928031	-5009269.53	878768.83	-5009319.66	878752.42	Obere Grenzstraße
60784541	2024106168	-5009259.92	878772.24	-5009269.53	878768.83	Obere Grenzstraße
150883872	3016236475	-5009696.1899999995	875790.1699999999	-5009701.720000001	875764.73	Liebigstraße
31124341	5218114125	-5008921.72	875963.8600000001	-5008922.5	875985.12	Odenwaldring
2016892725	31124341	-5008920.93	875937.22	-5008921.72	875963.8600000001	Odenwaldring
2012875035	2016892725	-5008920.29	875909.5399999999	-5008920.93	875937.22	Odenwaldring
2013021472	2012875035	-5008920.32	875886.98	-5008920.29	875909.5399999999	Odenwaldring
2012875037	2013021472	-5008920.67	875858.98	-5008920.32	875886.98	Odenwaldring
31124342	2012875037	-5008921.05	875841.25	-5008920.67	875858.98	Odenwaldring
712649802	35343339	-5010217.73	877390.4999999999	-5010246.44	877541.03	Bismarckstraße
537981491	712649802	-5010209.890000001	877349.96	-5010217.73	877390.4999999999	Bismarckstraße
35339025	537981491	-5010192.73	877255.69	-5010209.890000001	877349.96	Bismarckstraße
1832727078	35339025	-5010175.22	877164.08	-5010192.73	877255.69	Bismarckstraße
36685700	1832727078	-5010173.600000001	877155.77	-5010175.22	877164.08	Bismarckstraße
2429240149	36685700	-5010168.83	877130.0800000001	-5010173.600000001	877155.77	Bismarckstraße
537981489	2429240149	-5010166.53	877118.2899999999	-5010168.83	877130.0800000001	Bismarckstraße
36685366	537981489	-5010150.53	877036.43	-5010166.53	877118.2899999999	Bismarckstraße
36321777	36685366	-5010131.05	876931.54	-5010150.53	877036.43	Bismarckstraße
