start	end	lat	lon	lat	lon	name	distance
2472137	1985809935	-5008213.5600000005	877706.76	-5008210.5	877704.04	Dag-Hammarskjöld-Platz	0.003918385726494267
2472137	1854322644	-5008213.5600000005	877706.76	-5008238.29	877639.7899999999	Waldstraße	0.05514957941373268
2472137	1854322643	-5008213.5600000005	877706.76	-5008243.33	877742.56	Dag-Hammarskjöld-Platz	0.04189223559437342
1854322624	1985809935	-5008210.4399999995	877714.8300000001	-5008210.5	877704.04	Dag-Hammarskjöld-Platz	0.00780024175691821
1854322624	1854322633	-5008210.4399999995	877714.8300000001	-5008229.0200000005	877733.87	Dag-Hammarskjöld-Platz	0.02512303929528552
1854322624	1854322588	-5008210.4399999995	877714.8300000001	-5008175.390000001	877788.6799999999	Waldstraße	0.0655971350215484
1854322647	2472140	-5008266.41	877562.8400000001	-5008271.79	877559.58	Waldstraße	0.006420608286601975
1854322647	1854322637	-5008266.41	877562.8400000001	-5008220.62	877657.02	Waldstraße	0.08481909237267955
1854322647	1985809935	-5008266.41	877562.8400000001	-5008210.5	877704.04	Waldstraße	0.11906165930398843
1854322637	1854322597	-5008220.62	877657.02	-5008204.93	877703.62	Waldstraße	0.03756304098122687
1854322637	2450019732	-5008220.62	877657.02	-5008162.029999999	877547.4199999999	Lautzenhardtweg	0.10182887376695429
1854322597	1985809935	-5008204.93	877703.62	-5008210.5	877704.04	Dag-Hammarskjöld-Platz	0.006265571621989131
1854322597	2031153579	-5008204.93	877703.62	-5008181.29	877766.8500000001	Waldstraße	0.052242968066585974
1838438924	245565485	-5008603.58	875703.0200000001	-5008564.94	875430.46	J.-F.-Kennedy-Promenade	0.1996664907487293
1838438924	1838438908	-5008603.58	875703.0200000001	-5008567.05	875722.03	J.-F.-Kennedy-Promenade	0.04746646131686605
1838438924	1892335879	-5008603.58	875703.0200000001	-5008665.93	875693.88	J.-F.-Kennedy-Promenade	0.07110819641035533
245565485	3392723948	-5008564.94	875430.46	-5008561.17	875416.56	J.-F.-Kennedy-Promenade	0.010770260227146677
245565485	279051468	-5008564.94	875430.46	-5008620.42	875390.44	Richard-Wagner-Straße	0.06800045714936923
245565485	279044492	-5008564.94	875430.46	-5008521.93	875460.1799999999	Richard-Wagner-Straße	0.052331397294185865
409021179	1833013905	-5008826.71	876549.4800000001	-5008800.43	876326.65	Reichertweg	0.16270097361154184
1833013905	292278970	-5008800.43	876326.65	-5008705.96	876385.75	Senefelderstraße	0.1132524541577527
513882	253398189	-5009295.97	874617.66	-5008898.93	874192.24	Hergenröderstraße	0.53905346084836
513882	513881	-5009295.97	874617.66	-5009323.42	874581.3200000001	Taunusring	0.0400999606815477
513882	253398195	-5009295.97	874617.66	-5009257.9	874701.43	Taunusring	0.07343422271628951
1838438885	271786655	-5008512.76	876498.52	-5008277.62	875960.9899999999	Grünring	0.474480932889029
1838438885	242706489	-5008512.76	876498.52	-5008370.0200000005	876476.45	Senefelderstraße	0.16889245422935673
1838438885	95109278	-5008512.76	876498.52	-5008668.09	876410.63	Senefelderstraße	0.183950981674174
1838438885	476435719	-5008512.76	876498.52	-5008522.04	876658.4800000001	Grünring	0.11504728332317027
271786655	271785561	-5008277.62	875960.9899999999	-5008216.1	875779.5399999999	Grünring	0.14780323445562835
271786655	271785600	-5008277.62	875960.9899999999	-5008325.78	875915.6799999999	J.-F.-Kennedy-Promenade	0.062573139097316
271786655	271785547	-5008277.62	875960.9899999999	-5008195.28	876137.7899999999	J.-F.-Kennedy-Promenade	0.177765159319014
271785561	271785560	-5008216.1	875779.5399999999	-5008121.109999999	875770.05	Oswald-von-Nell-Breuning-Straße	0.10587546753899812
271785561	271785570	-5008216.1	875779.5399999999	-5008287.57	875145.07	Weidigweg	0.4597787575719414
289459757	3212742155	-5009460.49	876759.22	-5009470.48	876836.37	Friedrichsring	0.05616975432506709
289459757	1840312868	-5009460.49	876759.22	-5009499.3100000005	876824.0900000001	Hessenring	0.06540998567495629
3212742155	38582677	-5009470.48	876836.37	-5009472.02	876850.75	Friedrichsring	0.010403016605400417
3212742155	1840312868	-5009470.48	876836.37	-5009499.3100000005	876824.0900000001	Waldstraße	0.03324319747991279
3212742155	2017181226	-5009470.48	876836.37	-5009419.57	876856.06	Waldstraße	0.05837280428311851
495955320	495955325	-5010249.319999999	876412.01	-5010242.66	876361.38	Bleichstraße	0.03687359561149739
495955320	495955323	-5010249.319999999	876412.01	-5010129.220000001	876453.33	Martin-Luther-Park	0.13757291046020695
495955323	1834786474	-5010129.220000001	876453.33	-5010123.36	876518.1200000001	Martin-Luther-Park	0.058480418876318455
495955323	495955331	-5010129.220000001	876453.33	-5010069.12	876344.8999999999	Otto-Steinwachs-Weg	0.12003713928806285
495955325	495955328	-5010242.66	876361.38	-5010109.640000001	876385.6900000001	Kleine Bleiche	0.15530370002632066
495955325	215332578	-5010242.66	876361.38	-5010233.9	876294.85	Bleichstraße	0.04845546251545335
495955331	215332578	-5010069.12	876344.8999999999	-5010233.9	876294.85	Groß-Hasenbach-Straße	0.18673062718658068
495955331	870138990	-5010069.12	876344.8999999999	-5010044.83	876354.51	Groß-Hasenbach-Straße	0.027874426581052037
58761493	58758691	-5010835.22	875078.65	-5010964.100000001	874997.3600000001	Ludwigstraße	0.1546606242100636
58761493	1036364385	-5010835.22	875078.65	-5010745.83	875130.4899999999	Ludwigstraße	0.10608399063584877
58761493	58760123	-5010835.22	875078.65	-5010796.94	874818.5299999999	Goethestraße	0.1903846987221482
58761493	60268556	-5010835.22	875078.65	-5010865.4399999995	875278.58	Goethestraße	0.1465292100148941
38583603	52292287	-5009419.239999999	877198.63	-5009383.720000001	877353.6399999999	Buchhügelallee	0.11746029157635804
38583603	2018740854	-5009419.239999999	877198.63	-5009446.109999999	877168.78	Hessenring	0.04302705651942016
38583603	1832946467	-5009419.239999999	877198.63	-5009438.49	877117.82	Hessenring	0.06151062123341164
52292287	52300501	-5009383.720000001	877353.6399999999	-5009465.17	877417.0700000001	Elisabethenstraße	0.10127379838261602
